date,AA,AAN,AAP,AB,ABB,ABC,ABG,ABM,ABR,ABT,ACC,ACM,ACN,ADC,ADI,ADM,ADP,ADS,ADX,AEE,AEG,AEL,AEM,AEO,AEP,AER,AES,AFB,AFG,AFL,AGCO,AGD,AGM,AGO,AGX,AHT,AIG,AIN,AIR,AIT,AIV,AIZ,AJG,AKR,ALB,ALE,ALEX,ALG,ALK
2010-01-04,16.65,27.81,40.38,28.4,19.64,26.63,11.83,21.26,1.97,54.46,27.39,28.15,42.07,23.73,31.67,31.47,42.83,65.89,10.25,27.76,6.83,7.63,56.21,17.05,34.94,9.1,13.67,13.46,25.43,47.57,33.03,10.13,7.13,22.62,14.5,4.85,29.89,23.16,23.77,22.65,15.96,30.16,22.33,16.96,38.09,32.96,34.53,17.91,34.87
2010-01-05,16.13,27.9,40.14,28.37,19.77,26.44,12.39,20.97,1.92,54.02,26.95,28.46,42.33,23.57,31.62,31.64,42.6,66.02,10.27,27.65,6.88,7.47,56.9,17.59,34.54,9.7,13.53,13.43,25.43,48.95,33.16,10.134,7.09,22.53,14.5,4.97,29.33,22.85,24.23,23.2,16.36,31.06,22.21,16.86,38.02,32.45,35.75,17.49,36.78
2010-01-06,16.97,28.11,40.49,28.38,20.0,26.19,12.76,20.97,2.14,54.32,26.45,29.19,42.78,23.26,31.56,31.56,42.5,66.35,10.31,27.46,6.85,7.73,58.29,17.56,34.89,9.77,13.39,13.43,25.31,49.38,32.99,10.25,6.98,22.37,14.27,5.22,29.14,22.36,25.45,23.43,16.65,30.97,22.22,16.8,38.09,32.64,35.18,17.02,36.45
2010-01-07,16.61,28.11,40.48,28.4,20.17,25.77,13.05,21.24,2.25,54.77,26.89,30.17,42.74,23.36,31.31,31.23,42.48,66.96,10.3205,27.2,7.01,7.89,57.75,17.02,35.19,10.51,13.4,13.44,25.38,49.91,33.39,10.28,7.0,23.06,14.43,5.4,28.58,22.45,25.85,24.01,17.26,31.35,22.08,17.02,37.82,32.52,34.87,17.11,36.26
2010-01-08,17.02,28.14,40.64,29.27,20.74,26.05,13.15,21.22,2.3,55.05,26.64,30.48,42.57,23.13,31.49,30.84,42.42,67.68,10.32,27.01,7.24,7.83,59.38,17.36,35.61,10.76,13.78,13.53,25.34,49.41,35.69,10.1,7.05,23.19,14.7,5.62,29.34,22.77,25.44,24.12,16.86,31.37,22.14,16.7,38.39,32.23,35.76,17.07,35.54
2010-01-11,17.45,28.64,40.24,29.88,20.48,26.34,13.2,21.17,2.35,55.33,26.77,29.99,42.53,23.14,31.31,30.86,42.61,67.75,10.36,27.23,7.17,7.81,59.5,16.88,35.98,10.61,13.87,13.62,25.42,50.71,36.86,10.06,7.0,23.04,14.7,5.85,29.63,22.19,25.15,23.77,16.99,31.59,22.17,16.82,38.22,32.16,35.78,17.44,35.32
2010-01-12,15.52,28.48,39.54,29.67,20.08,26.52,13.07,20.94,2.32,55.17,26.48,29.62,42.26,23.19,30.01,30.53,42.31,66.64,10.24,27.2,7.13,7.79,57.59,16.78,35.62,10.57,13.71,13.64,25.08,50.45,35.24,10.01,6.85,22.23,14.6,5.84,28.46,21.42,24.75,23.92,16.55,31.3,22.3,16.69,37.69,32.1,34.33,17.3,36.11
2010-01-13,15.98,28.77,40.09,28.76,20.16,27.04,13.1,20.96,2.38,55.29,26.7,29.69,42.74,23.5,30.0,30.66,42.62,66.62,10.3205,27.38,7.18,7.95,58.7,16.99,36.06,10.76,14.08,13.63,25.23,51.0,35.41,10.08,7.0,22.92,14.2,5.96,29.06,21.42,24.57,24.32,17.01,31.59,22.29,17.4,38.07,32.49,34.65,17.49,37.34
2010-01-14,15.81,29.0,39.56,29.47,20.24,27.21,13.06,20.87,2.35,55.35,27.0,29.42,43.12,23.51,29.97,30.74,42.5,66.69,10.38,27.48,7.14,8.03,58.44,17.41,36.2,10.88,14.09,13.58,25.42,51.67,34.97,10.12,7.12,23.58,14.2,5.99,28.6,21.48,24.93,24.25,16.82,31.26,22.23,17.24,37.92,32.37,34.59,17.65,37.4
2010-01-15,15.63,28.97,39.31,29.0,20.04,26.92,13.29,20.49,2.44,55.49,27.14,28.9,42.81,23.16,28.96,30.54,42.27,65.64,10.26,27.34,6.95,8.02,57.44,17.17,36.01,10.77,14.04,13.573,25.16,51.11,34.58,10.19,7.03,22.94,14.27,6.02,28.06,21.02,24.74,24.26,16.43,30.53,22.0,17.14,37.89,31.8,33.98,17.75,36.06
